model,MAE,RMSE,MAPE(%),sMAPE(%)
Ridge,4967.0051694115755,8160.538467818184,284.6296982508535,62.659609358918935
RandomForest,5250.265992928832,8585.540329360001,282.1381396865333,61.307564265587835
XGBoost,5668.977376134273,9453.401059056285,319.38821379237896,63.28491723651153
