model,MAE,RMSE,MAPE(%),sMAPE(%)
RandomForest,15169.070333547008,19440.318866640053,39.52030336800851,27.933227380791475
XGBoost,15665.037286324785,20199.010719715596,43.25518966814037,28.735409437780657
Ridge,24086.50519346454,28373.255280723148,68.08152014587748,39.7168120963007
